YR--MODAHRMN,TEMP
201508111500,76
201508111551,76
201508111621,77
201508111651,79
201508111749,80
201508111751,79
201508111800,79
201508111851,77
201508111913,77
201508111951,76
201508112051,76
201508112100,76
201508112151,78
201508112251,78
201508112351,78
201508120000,78
201508120051,77
201508120151,****
201508120251,76
201508120300,76
201508120351,76
201508120451,74
201508120459,74
201508120551,74
201508120600,73
201508120651,73
201508120751,75
201508120851,75
201508120900,77
201508120951,79
201508121051,81
201508121151,81
201508121200,83
201508121251,85
201508121351,86
201508121451,86
201508121500,84
201508121551,87
201508121651,87
201508121751,87
201508121800,84
201508121851,83
201508121951,81
201508122051,81
201508122100,80
201508122151,78
201508122251,77
201508122351,77
201508130000,76
201508130051,74
201508130151,****
201508130251,73
201508130300,73
201508130351,72
201508130451,71
201508130459,70
201508130551,70
201508130600,69
201508130651,70
201508130751,73
201508130851,73
201508130900,76
201508130951,77
201508131051,80
201508131151,80
201508131200,79
201508131251,81
201508131351,82
201508131451,82
201508131500,83
201508131551,85
201508131651,84
201508131751,84
201508131800,81
201508131851,79
201508131951,77
201508132051,77
201508132100,76
201508132151,75
201508132251,74
201508132351,74
201508140000,74
201508140051,71
201508140151,****
201508140251,70
201508140300,70
201508140351,70
201508140451,71
201508140459,66
201508140551,66
201508140600,69
201508140651,69
201508140751,76
201508140851,76
201508140900,78
201508140951,80
201508141051,82
201508141151,82
201508141200,83
201508141251,85
201508141351,86
201508141451,86
201508141500,84
201508141551,84
201508141651,83
201508141751,83
201508141800,81
201508141851,79
201508141951,77
201508142051,77
201508142100,77
201508142151,76
201508142251,76
201508142351,76
201508150000,74
201508150051,73
201508150151,****
201508150251,73
201508150300,73
201508150351,73
201508150451,73
201508150459,71
201508150551,71
201508150600,70
201508150651,73
201508150751,76
201508150851,76
201508150900,79
201508150951,81
201508151051,83
201508151151,83
201508151200,85
201508151251,86
201508151351,87
201508151451,87
201508151500,87
201508151551,87
201508151651,83
201508151751,83
201508151800,82
201508151851,80
201508151951,79
201508152051,79
201508152100,78
201508152151,77
201508152251,76
201508152351,77
201508160000,77
201508160051,****
201508160151,77
201508160251,76
201508160351,78
201508160451,76
201508160459,76
201508160551,74
201508160651,75
201508160751,79
201508160851,79
201508160900,80
201508160951,82
201508161051,85
201508161151,85
201508161200,86
201508161251,87
201508161351,89
201508161451,89
201508161500,86
201508161551,82
201508161651,83
201508161751,82
201508161800,82
201508161837,84
201508161849,85
201508161851,84
201508161901,84
201508161920,83
201508161945,82
201508161951,79
201508162051,79
201508162100,79
